"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","BatchNum","CoilNo","Quantity","WhsCode","Bin","GRPONo","GRPODate"
"HR000000000324","JSW HR COIL 25MMX1500","JSW","E250","25.00","1500","","JW-009891","26609382","26.800000","38","38-B-SHED-B2-B3","1152","2026-08-08"
"HR000000000393","SAIL HR COIL 5MMX2000","SAIL","E250","5.00","2000","","JW-007919","2604684 / NE128353","28.234000","38","38-A-SHED-A6-A7","3615","2026-03-26"
"HR000000000461","SAIL HR COIL 16MMX2000","SAIL","E250","16.00","2000","","JW-010383","2614033 / NF047489","32.270000","38","38-B-SHED-B2-B3","1345","2026-08-22"
"HR000000000461","SAIL HR COIL 16MMX2000","SAIL","E250","16.00","2000","","JW-010384","2614034 / NF047491","32.110000","38","38-B-SHED-B4-B5","1346","2026-08-22"
"HR000000000536","SAIL HR COIL 10MMX2000/E350BR","SAIL","E350","10.00","2000","","JW-010584","2614603 / NF051163","32.270000","38","38-A-SHED-A5-A6","1411","2026-08-27"
"HR000000000536","SAIL HR COIL 10MMX2000/E350BR","SAIL","E350","10.00","2000","","JW-010585","2614603 / NF051161","32.190000","38","38-A-SHED-A4-A5","1412","2026-08-27"
"HR000000000537","SAIL HR COIL 8MMX2000/E350BR","SAIL","E350","8.00","2000","","JW-008440","2606472/NF003675","27.185000","38","38-A-SHED-A12-A13","189","2026-04-22"
"HR000000000549","SAIL HR COIL 20MMX1500","SAIL","E250","20.00","1500","","JW-009803","2612185/NF036888","31.630000","38","38-B-SHED-B3-B4","1106","2026-07-31"
"HR000000000549","SAIL HR COIL 20MMX1500","SAIL","E250","20.00","1500","","JW-009805","2612366 / NF037411","31.450000","38","38-B-SHED-B3-B4","1108","2026-07-31"
"HR000000000549","SAIL HR COIL 20MMX1500","SAIL","E250","20.00","1500","","JW-010068","2613700 / NF045532","31.250000","38","38-B-SHED-B4-B5","1239","2026-08-14"
"HR000000000549","SAIL HR COIL 20MMX1500","SAIL","E250","20.00","1500","","JW-010386","2614013 / NF047352","30.930000","38","38-B-SHED-B4-B5","1348","2026-08-22"
"HR000000000560","SAIL HR COIL 16MMX2000/E350BR","SAIL","E350","16.00","2000","","2609255 / NF016841","2609255 / NF016841","32.000000","38","38-B-SHED-B3-B4","494","2026-05-31"
"HR000000000560","SAIL HR COIL 16MMX2000/E350BR","SAIL","E350","16.00","2000","","JW-008942","2609255 / NF016842","31.930000","38","38-B-SHED-B3-B4","522","2026-05-31"
"HR000000000566","SAIL HR COIL 12MMX2000/E350BR","SAIL","E350","12.00","2000","","JW-010601","2614594 / NF050955","32.060000","38","38-A-SHED-A4-A5","1429","2026-08-28"
"HR000000000566","SAIL HR COIL 12MMX2000/E350BR","SAIL","E350","12.00","2000","","JW-010602","2614660 / NF050957","32.160000","38","38-A-SHED-A4-A5","1430","2026-08-28"
"HR000000000575","SAIL HR COIL 20MMX2000/E350BR","SAIL","E350","20.00","2000","","JW-006862","2600539 / NE104945","32.020000","38","38-A-SHED-A5-A6","2842","2026-01-27"
"HR000000000588","JSW HR COIL 2.5MMX1500","JSW","IS2062 E250 BR","2.50","1500","","23571600/A","23571600/A","10.390000","38","38-SYSTEM-BIN-LOCATION","353","2026-05-22"
"HR000000000604","SAIL HR COIL 20MMX1500/E350BR","SAIL","E350","20.00","1500","","JW-010385","2613930 / NF046935","31.000000","38","38-A-SHED-A4-A5","1347","2026-08-22"
"HR000000000608","SAIL HR COIL 14MMX2000/E350BR","SAIL","E350","14.00","2000","","JW-008088","2604888 / NE129577","26.287000","38","38-B-SHED-B4-B5","3729","2026-03-31"
"HR000000000608","SAIL HR COIL 14MMX2000/E350BR","SAIL","E350","14.00","2000","","JW-010577","2614652 / NF051156","32.150000","38","38-B-SHED-B2-B3","1408","2026-08-27"
"HR000000000608","SAIL HR COIL 14MMX2000/E350BR","SAIL","E350","14.00","2000","","JW-010578","2614652 / NF051157","32.180000","38","38-B-SHED-B2-B3","1409","2026-08-27"
"HR000000000612","JSW HR COIL 25MMX1500/E350BR","JSW","E350","25.00","1500","","JW-009157","26582316","25.380000","38","38-B-SHED-B3-B4","660","2026-06-23"
"HR000000000633","SAIL HR COIL 16MMX1250/E350","SAIL","E350","16.00","1250","","JW-006554","C204895202","20.800000","38","38-A-SHED-A23-A24","2580","2025-12-29"
