"ItemCode","ItemName","Brand","Grade","Thickness","Width","Length","TotalQty","TotalNos"
"HRC000000000295","HR SHEET 04X1500X3050XE250","OTHER","E250","4.000000","1500.000000","3050.000000","3.325000","23.000000"
"HRC000000000296","HR SHEET 04X1250X3050XE250","OTHER","E250","4.000000","1250.000000","3050.000000","1.436000","10.000000"
"HRC000000000297","HR PLATE 08X2000X12000XE250","OTHER","E250","8.000000","2000.000000","12000.000000","25.700000","17.000000"
"HRC000000000298","HR PLATE 10X2000X12000XE250","OTHER","E250","10.000000","2000.000000","12000.000000","30.120000","13.000000"
"HRC000000000300","HR PLATE 14X2000X12000XE350","OTHER","IS2062 E350 BR","14.000000","2000.000000","12000.000000","2.651000","1.000000"
"HRC000000000303","READY TO USE STEEL 10X200X6300XE250","OTHER","E250","10.000000","200.000000","6300.000000","0.000000","-40.000000"
"HRC000000000307","HR PLATE 06X2000X6000XE250","OTHER","E250","6.000000","2000.000000","6000.000000","0.000000","1.000000"
"HRC000000000311","HR PLATE 05X1500X6000XE350","OTHER","E350","5.000000","1500.000000","6000.000000","0.355000","3.000000"
"HRC000000000314","HR PLATE 06X1500X6000XE350","OTHER","E350","6.000000","1500.000000","6000.000000","0.000000","1.000000"
"HRC000000000319","HR SHEET 02X1250X3000XE250","OTHER","E250","2.000000","1250.000000","3000.000000","0.000000","-124.000000"
"HRC000000000330","HR PLATE 5.8X1500X2500XHSFQ450","OTHER","HSFQ450","5.800000","1500.000000","2500.000000","5.643000","31.000000"
"HRC000000000337","CHEQUERED PLATE 05X1250XCTLXE250","OTHER","IS3502/IS10748GRII","5.000000","1250.000000","","0.000000","-4.000000"
"HRC000000000338","HR SHEET 4.8X1250X6300XE250","OTHER","E250","4.800000","1250.000000","6300.000000","4.258000","14.000000"
"HRC000000000339","HR PLATE 12X2000X12000XE250","OTHER","IS2062 E250 BR","12.000000","2000.000000","12000.000000","6.689000","3.000000"
"HRC000000000344","HR PLATE 08X2000X12000XE350","OTHER","E350","8.000000","2000.000000","12000.000000","0.209000","0.000000"
"HRC000000000351","CHEQUERED PLATE 06X1500XCTLXE250","OTHER","E250","6.000000","1500.000000","","0.000000","1.000000"
"HRC000000000352","HR SHEET 03X1500XCTLXE250","OTHER","E250","3.000000","1500.000000","","0.696000","9.000000"
"HRC000000000353","HR PLATE 08X1500X2500XE250","OTHER","E250","8.000000","1500.000000","2500.000000","0.237000","1.000000"
"HRC000000000354","HR PLATE 12X2000X5000XE250","OTHER","IS2062 E250 BR","12.000000","2000.000000","5000.000000","1.047000","1.000000"
"HRC000000000355","HR PLATE 12X2000X10800XE250","OTHER","E250","12.000000","2000.000000","10800.000000","0.000000","1.000000"
"HRC000000000356","HR PLATE 14X2000X6050XE350","OTHER","E350","14.000000","2000.000000","6050.000000","0.000000","1.000000"
"HRC000000000365","HR SLIT COIL 3.8MMX150","OTHER","E250","3.800000","150.000000","","4.420000","0.000000"
"HRC000000000373","HR PLATE 16X1250X12500XE350","OTHER","E350","16.000000","1250.000000","12500.000000","0.000000","1.000000"
"HRC000000000374","HR PLATE 16X2000X12250XE350","OTHER","E350","16.000000","2000.000000","12250.000000","3.076000","1.000000"
"HRC000000000376","HR SHEET 3.15X1500X3700XE250","OTHER","E250","3.150000","1500.000000","3700.000000","0.000000","-5.000000"
"HRC000000000377","HR SHEET 4.8X1500X2260XHSFQ450","OTHER","HSFQ450","4.800000","1500.000000","2260.000000","0.789000","11.000000"
"HRC000000000378","HR SHEET 04X1250XCTLXE350","OTHER","IS2062 E350 BR","4.000000","1250.000000","0.000000","0.000000","5.000000"
"HRC000000000380","CHEQUERED PLATE 05X1500X6300XE250","OTHER","IS3502/IS10748GRII","5.000000","1500.000000","6300.000000","6.220000","17.000000"
"HRC000000000381","HR SHEET 04X1250X2500XE350","OTHER","IS2062 E350 BR","4.000000","1250.000000","2500.000000","1.983000","26.000000"
"HRC000000000384","HR PLATE 06X1500X5000XE250","OTHER","E250","6.000000","1500.000000","5000.000000","0.355000","1.000000"
"HRC000000000385","HR PLATE 20X1500X3150XE250","OTHER","E250","20.000000","1500.000000","3150.000000","1.483000","2.000000"
"HRC000000000390","HR PLATE 7.8X1250X6300XE250","OTHER","E250","7.800000","1250.000000","6300.000000","0.008000","0.000000"
"HRC000000000391","HR PLATE 16X1500X5000XE250","OTHER","E250","16.000000","1500.000000","5000.000000","0.948000","1.000000"
"HRC000000000392","HR PLATE 4.8X1500X6300XE350","OTHER","E350","4.800000","1500.000000","6300.000000","2.505000","7.000000"
"HRC000000000393","HR PLATE 10X1500X5000XE350","OTHER","E350","10.000000","1500.000000","5000.000000","0.592000","1.000000"
"HRC000000000400","HR PLATE 16X2000X3800XE350","OTHER","E350","16.000000","2000.000000","3800.000000","0.949000","1.000000"
"HRC000000000401","HR PLATE 25X1500X12500XE350","OTHER","E350","25.000000","1500.000000","12500.000000","7.475000","2.000000"
"HRC000000000402","HR PLATE 14X2000X12500XE350","OTHER","IS2062 E350 BR","14.000000","2000.000000","12500.000000","8.285000","3.000000"
"HRC000000000403","CHEQUERED PLATE 08X1250XCTLXE250","OTHER","IS3502/IS10748GRII","8.000000","1250.000000","","0.340000","0.000000"
"HRC000000000405","HR SHEET 3.5X1250X2500XE250","OTHER","E250BR","3.500000","1250.000000","2500.000000","0.000000","-1.000000"
"HRC000000000406","HR SHEET 04X1500X6300XE350","OTHER","E350","4.000000","1500.000000","6300.000000","0.013000","0.000000"
"HRC000000000407","HR SLIT COIL 2.5MMX125","OTHER","IS2062 E250 BR","2.500000","125.000000","","0.960000","0.000000"
"HRC000000000409","HR SHEET 04X1500X6300XE250","OTHER","E250","4.000000","1500.000000","6300.000000","30.920000","104.000000"
