ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
JW000000000124,AMNS HR PLATE 12.4X1250XCTL  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.746000,0.000000,0.000000,WIR006,12.400000,1250.000000,
RDU000000000117,JSW HR  BLANKS/FLATS 12.4X1550 SCRAP  WIR025,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.732000,1.551000,0.000000,WIR025,12.400000,1550.000000,
RDU000000000187,JSW HR  BLANKS/FLATS 16X1210 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.678000,0.000000,0.000000,WIR006,16.000000,1190.000000,
RDU000000000109,JSW HR  BLANKS/FLATS 16X1190 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.374000,0.000000,0.000000,WIR006,16.000000,1190.000000,
RDU000000000188,WUHAN HR PRIME BLANKS/FLATS 12.1X244X3755 WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.182000,0.380000,0.000000,WIR006,12.100000,244.000000,3755.000000
JW000000000166,AMNS HR PLATE 18.8X1260XCTL WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.117000,0.000000,0.000000,WIR006,18.800000,1260.000000,
JW000000000081,JSW HR PLATE 14.3X1550XCTL WIR025,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.100000,0.000000,0.000000,WIR025,14.300000,1550.000000,
RDU000000000181,WUHAN HR  BLANKS/FLATS 14.3X1190 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.095000,0.609000,0.000000,WIR006,14.300000,1190.000000,
RDU000000000168,HYUNDAI HR  BLANKS/FLATS 14.3X1240 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.081000,0.000000,0.000000,WIR006,14.300000,1240.000000,
RDU000000000070,HYUNDAI HR  BLANKS/FLATS 12.4X1250 SCRAP  WIR006,HR Coil,1. SAIL HR,45,JOB WORK WAREHOUSE,0.031000,0.098000,0.000000,WIR006,12.400000,1250.000000,
CUS000000000603,RED SEAL PATTI CLIP,Consumables,9. CONSUMABLES,46,Consumables,2987.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000235,PATTICLIP,Consumables,9. CONSUMABLES,46,Consumables,2000.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000857,"CR COIL 32"" 1MM THICKNESS PUTTY ROLE",Consumables,9. CONSUMABLES,46,Consumables,1076.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000838,MAK HYDROL AW 68,Consumables,9. CONSUMABLES,46,Consumables,1050.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000869,GASOUS  OXYGEN,Consumables,9. CONSUMABLES,46,Consumables,388.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000777,1.5SQMM 7CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,230.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000776,1.5SQMM 12CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,199.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000780,4SQMM 4CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,180.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000661,PLAIN WASHER  M16,Consumables,9. CONSUMABLES,46,Consumables,164.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000779,0.5SQMM 8CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,150.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000442,COTTON GLOVES,Consumables,9. CONSUMABLES,46,Consumables,135.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000934,PLAINWASHER M8,Consumables,9. CONSUMABLES,46,Consumables,122.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000775,10SQMM 4CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,116.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000705,PLAIN WASHER  M12,Consumables,9. CONSUMABLES,46,Consumables,115.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000001032,HDPE TARPAULIN,Consumables,9. CONSUMABLES,46,Consumables,111.400000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000706,SPRING WAHER  M12,Consumables,9. CONSUMABLES,46,Consumables,100.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000496,BANIYAN WASTE,Consumables,9. CONSUMABLES,46,Consumables,100.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000161,HEX NUT 8,Consumables,9. CONSUMABLES,46,Consumables,100.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000783,4SQMM 3CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,100.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000778,1.5SQMM 5CRORE CABLE,Consumables,9. CONSUMABLES,46,Consumables,98.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000444,EAR PLUG,Consumables,9. CONSUMABLES,46,Consumables,94.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000867,"BUFFING WHEEL 4""",Consumables,9. CONSUMABLES,46,Consumables,90.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000754,"""MALE STUD ELBOW  1/2""""X16MM""",Consumables,9. CONSUMABLES,46,Consumables,84.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000585,GLOVES,Consumables,9. CONSUMABLES,46,Consumables,76.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000299,HEX NUT  16,Consumables,9. CONSUMABLES,46,Consumables,60.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000728,ORING CORD  6MM,Consumables,9. CONSUMABLES,46,Consumables,57.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000931,"CUTTING WHEEL 4""",Consumables,9. CONSUMABLES,46,Consumables,51.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000930,ALUMINIUM  RIVET,Consumables,9. CONSUMABLES,46,Consumables,50.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000001026,"CUTTING WHEEL 5""",Consumables,9. CONSUMABLES,46,Consumables,50.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000001052,CSK ALLEN BOLT  M16X140L,Consumables,9. CONSUMABLES,46,Consumables,50.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000711,HEX BOLT  M12X40L,Consumables,9. CONSUMABLES,46,Consumables,50.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000487,OLFLEX 100 2X1.50,Consumables,9. CONSUMABLES,46,Consumables,50.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000722,ORING  76X3MM,Consumables,9. CONSUMABLES,46,Consumables,48.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000865,"GRINDING WHEEL 4""",Consumables,9. CONSUMABLES,46,Consumables,43.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000654,HEX BOLT  M10X50L,Consumables,9. CONSUMABLES,46,Consumables,43.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000662,HEX BOLT  M10X40L,Consumables,9. CONSUMABLES,46,Consumables,41.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000687,NUT  M16,Consumables,9. CONSUMABLES,46,Consumables,41.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000665,HEX BOLT  M5X30L,Consumables,9. CONSUMABLES,46,Consumables,40.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000684,HEX BOLT  M16X100L,Consumables,9. CONSUMABLES,46,Consumables,38.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000879,HEX NUT M24,Consumables,9. CONSUMABLES,46,Consumables,38.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000364,SOCK,Consumables,9. CONSUMABLES,46,Consumables,36.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000022,BATTERY AAA,Consumables,9. CONSUMABLES,46,Consumables,34.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000694,HEX BOLT  M16X40L,Consumables,9. CONSUMABLES,46,Consumables,34.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000897,MAK MP3 GREASE,Consumables,9. CONSUMABLES,46,Consumables,34.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000696,NUT  M30,Consumables,9. CONSUMABLES,46,Consumables,33.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000125,SPRAY PAINT YELLOW,Consumables,9. CONSUMABLES,46,Consumables,33.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000479,O RING 27X2.5MM,Consumables,9. CONSUMABLES,46,Consumables,30.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000664,NUT  M5,Consumables,9. CONSUMABLES,46,Consumables,30.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000001044,WELD SAFETY BLACK GLASS 11,Consumables,9. CONSUMABLES,46,Consumables,30.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000923,12MM CHAIN 5 MTR,Consumables,9. CONSUMABLES,46,Consumables,30.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
CUS000000000963,O RING 58X4,Consumables,9. CONSUMABLES,46,Consumables,30.000000,0.000000,0.000000,,0.000000,0.000000,0.000000
